market_cap_rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply
1,bitcoin,btc,Bitcoin,27353,529606514558,13987107642,27545,27197,0.40878,19355906.0,21000000.0,21000000.0
2,ethereum,eth,Ethereum,1816.61,218863938317,8922681817,1847.3,1810.12,-1.2415,120406936.078253,120406936.078253,
3,tether,usdt,Tether,0.999906,81529194985,21107946188,1.004,0.998738,0.07217,81538750252.4105,81538750252.4105,
4,binancecoin,bnb,BNB,331.59,52316588089,559952265,332.57,328.52,0.3666,157886280.0,157900174.0,200000000.0
5,usd-coin,usdc,USD Coin,0.999363,30662132819,4194994561,1.004,0.997276,-0.04858,30704827828.6381,30704822853.1381,
6,ripple,xrp,XRP,0.45683,23644276999,1155688934,0.463851,0.45166,-0.47505,51750810378.0,99988998998.0,100000000000.0
7,cardano,ada,Cardano,0.380076,13316150609,269177239,0.387409,0.377794,-1.77663,35045020830.3234,45000000000.0,45000000000.0
8,staked-ether,steth,Lido Staked Ether,1814.83,11177958271,52254274,1845.08,1806.21,-1.23305,6153468.657369,6153468.657369,6153347.08768259
9,dogecoin,doge,Dogecoin,0.078191,10890868006,370580148,0.079101,0.077877,-0.45432,139085526383.705,,
10,matic-network,matic,Polygon,0.953675,8827308353,323025250,0.999575,0.95373,-3.27771,9249469069.28493,10000000000.0,10000000000.0
11,solana,sol,Solana,20.93,8220909932,373069668,21.48,20.81,-2.17261,392768233.565624,546123444.765746,
12,polkadot,dot,Polkadot,5.82,7116914033,134967955,5.95,5.81,-0.91275,1224388427.91058,1305335134.07006,
13,litecoin,ltc,Litecoin,88.95,6489901780,518968774,89.68,86.79,2.04104,72783320.7334713,84000000.0,84000000.0
14,binance-usd,busd,Binance USD,1.001,6359886114,1989129622,1.003,0.997236,0.12625,6360446365.32,6360446365.32,
15,shiba-inu,shib,Shiba Inu,1.018e-05,5993888815,128796256,1.034e-05,1.015e-05,-1.11352,589356234658342.2,999990883724151.0,
16,tron,trx,TRON,0.065422,5932934046,276599280,0.066395,0.065377,-1.10397,90687352155.6306,90686985237.4578,
17,avalanche-2,avax,Avalanche,16.98,5554791660,179108541,17.15,16.79,0.23259,326941184.332607,423003851.834618,720000000.0
18,dai,dai,Dai,0.999169,4784707290,136248343,1.003,0.997954,-0.15297,4789511944.47432,4789899825.22395,4789511944.47432
19,wrapped-bitcoin,wbtc,Wrapped Bitcoin,27269,4198817261,112725660,27549,27179,-0.03342,153961.59267587,153961.59267587,153961.59267587
20,uniswap,uni,Uniswap,5.27,3976336505,64542044,5.39,5.25,-2.16285,753766667.0,1000000000.0,1000000000.0
21,chainlink,link,Chainlink,7.05,3645779740,189630824,7.15,6.97,-0.92872,517099971.2305644,1000000000.0,1000000000.0
22,the-open-network,ton,Toncoin,2.25,3316693590,17710541,2.31,2.25,-1.11249,1473591410.74313,5057362773.99687,
23,leo-token,leo,LEO Token,3.51,3265954367,128431,3.55,3.41,0.09417,930559780.9,985239504.0,
24,cosmos,atom,Cosmos Hub,10.78,3151906232,100099844,10.92,10.65,0.0742,292586163.827428,,
25,monero,xmr,Monero,156.63,2839108641,96809083,158.41,154.32,0.05986,18147820.3764146,,
26,okb,okb,OKB,45.73,2749438184,32637219,46.83,45.23,0.73059,60000000.0,246638974.0,300000000.0
27,ethereum-classic,etc,Ethereum Classic,19.21,2691927329,90430740,19.46,19.14,-0.68828,140085300.051263,210700000.0,210700000.0
28,stellar,xlm,Stellar,0.092887,2485178749,44209621,0.093907,0.092225,-0.6356,26762777972.0153,50001787366.2529,50001787366.2529
29,internet-computer,icp,Internet Computer,5.24,2283015325,33407392,5.42,5.18,-2.15707,435623094.188622,498084236.673339,469213710.0
30,bitcoin-cash,bch,Bitcoin Cash,117.27,2272445293,81140352,120.6,116.97,-2.23546,19374468.6466508,21000000.0,21000000.0
31,filecoin,fil,Filecoin,5.2,2181124103,98458789,5.29,5.17,-0.62396,419957249.0,1963902204.0,1963902204.0
32,true-usd,tusd,TrueUSD,0.997995,2037710520,1566502975,1.003,0.996528,-0.16006,2041446767.12,2041446767.12,
33,aptos,apt,Aptos,9.87,1861416442,115574206,10.32,9.83,-2.76588,188444201.112083,1031183332.27017,
34,hedera-hashgraph,hbar,Hedera,0.059095,1840795409,26670843,0.060326,0.058854,-0.79122,31155749078.0905,50000000000.0,50000000000.0
35,lido-dao,ldo,Lido DAO,2.03,1777447970,31371818,2.12,2.03,-3.50206,874428966.602748,1000000000.0,1000000000.0
36,arbitrum,arb,Arbitrum,1.31,1669459302,507482004,1.34,1.3,-0.62689,1275000000.0,10000000000.0,10000000000.0
37,near,near,NEAR Protocol,1.87,1665113073,70322481,1.91,1.84,-1.34512,893146754.800986,1000000000.0,1000000000.0
38,crypto-com-chain,cro,Cronos,0.065637,1658550102,11191508,0.067015,0.06546,-1.69891,25263013692.0,30263013692.0,
39,quant-network,qnt,Quant,110.04,1598777910,17099322,110.75,108.88,-0.28586,14544176.164091088,14612493.0,14612493.0
40,vechain,vet,VeChain,0.02177956,1578239053,50650881,0.02220905,0.02158344,-1.03638,72511146418.0,85985041177.0,86712634466.0
41,apecoin,ape,ApeCoin,3.86,1421807115,63904359,3.99,3.86,-2.49562,368593750.0,1000000000.0,1000000000.0
42,algorand,algo,Algorand,0.181174,1309943636,49032036,0.186507,0.180792,-2.16832,7230199287.90798,7431924439.53303,10000000000.0
43,the-graph,grt,The Graph,0.133437,1192722193,43005142,0.139151,0.132343,-3.11843,8938721105.18139,10000000000.0,
44,eos,eos,EOS,1.03,1134758999,90685869,1.051,1.027,-0.58915,1103070827.7801,,
45,fantom,ftm,Fantom,0.401291,1119016708,171978578,0.424479,0.400429,-4.74876,2787625426.83815,3175000000.0,3175000000.0
46,the-sandbox,sand,The Sandbox,0.572052,1049554137,81771856,0.589532,0.567747,-2.04927,1833881926.2233226,3000000000.0,3000000000.0
47,paxos-standard,usdp,Pax Dollar,0.998697,1040002321,5236238,1.003,0.996697,-0.0778,1041056795.45068,1041056795.45068,
